ticker,googleTicker,companyName,sector,currentPrice,currentMarketCap,volume,price1D,price1W,price1M,price1Q,price1Y,price2Y,price3Y,price5Y,priceLongest
MCO,MCO,Moody's Corporation,Financials,"=IFERROR(GOOGLEFINANCE(B324,""price""),"""")","=IFERROR(GOOGLEFINANCE(B324,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B324,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B324,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
MS,MS,Morgan Stanley,Financials,"=IFERROR(GOOGLEFINANCE(B325,""price""),"""")","=IFERROR(GOOGLEFINANCE(B325,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B325,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B325,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
MOS,MOS,Mosaic Company (The),Materials,"=IFERROR(GOOGLEFINANCE(B326,""price""),"""")","=IFERROR(GOOGLEFINANCE(B326,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B326,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B326,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
MSI,MSI,Motorola Solutions,Information Technology,"=IFERROR(GOOGLEFINANCE(B327,""price""),"""")","=IFERROR(GOOGLEFINANCE(B327,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B327,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B327,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
MSCI,MSCI,MSCI Inc.,Financials,"=IFERROR(GOOGLEFINANCE(B328,""price""),"""")","=IFERROR(GOOGLEFINANCE(B328,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B328,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B328,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
NDAQ,NDAQ,"Nasdaq, Inc.",Financials,"=IFERROR(GOOGLEFINANCE(B329,""price""),"""")","=IFERROR(GOOGLEFINANCE(B329,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B329,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B329,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
NTAP,NTAP,NetApp,Information Technology,"=IFERROR(GOOGLEFINANCE(B330,""price""),"""")","=IFERROR(GOOGLEFINANCE(B330,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B330,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B330,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
NFLX,NFLX,Netflix,Communication Services,"=IFERROR(GOOGLEFINANCE(B331,""price""),"""")","=IFERROR(GOOGLEFINANCE(B331,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B331,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B331,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
NEM,NEM,Newmont,Materials,"=IFERROR(GOOGLEFINANCE(B332,""price""),"""")","=IFERROR(GOOGLEFINANCE(B332,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B332,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B332,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
NWSA,NWSA,News Corp (Class A),Communication Services,"=IFERROR(GOOGLEFINANCE(B333,""price""),"""")","=IFERROR(GOOGLEFINANCE(B333,""marketcap""),"""")","=IFERROR(GOOGLEFINANCE(B333,""volume""),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",WORKDAY(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",WORKDAY(TODAY(),-5),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",EDATE(TODAY(),-1),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",EDATE(TODAY(),-3),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",EDATE(TODAY(),-12),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",EDATE(TODAY(),-24),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",EDATE(TODAY(),-36),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",EDATE(TODAY(),-60),TODAY()),2,2),"""")","=IFERROR(INDEX(GOOGLEFINANCE(B333,""close"",DATE(1970,1,1),TODAY()),2,2),"""")"
